Date,High,Low,Open,Close,Volume,Adj Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sar,sarext,sma,t3,tema,trima,wma,rsi,slowk,slowd,fastk,fastd,macd,macdsignal,macdhist,adx,willr,cci,atr,ultosc,roc
2020-02-14,23738.419921875,23603.48046875,23714.51953125,23687.58984375,69100000,23687.58984375,23929.19249809257,23778.0984375,23627.004376907433,,,,,,23422.7646484375,23385.64453125,22835.685067235423,22893.08363115536,,23548.66274234199,23776.832706990364,,,55.30297764179674,54.025234483430125,68.18336423477565,0.0,45.443054847848714,,,,12.345239485434274,-25.239205712107477,53.50644409909537,280.5211588158724,,3.0892487025492077
2020-02-17,23561.98046875,23335.990234375,23489.779296875,23523.240234375,54000000,23523.240234375,23957.862556503165,23717.150390625,23476.438224746835,,,,,,23422.7646484375,23385.64453125,22847.281907969318,22915.129341344753,,23581.362270639376,23602.806433319198,,,52.21906621256376,37.52062747550753,53.87283212966998,0.0,16.75812295679323,,,,11.930179593287935,-38.71656966035512,5.7867713888026495,285.59819099866723,58.34462300091674,1.3706446196851907
2020-02-18,23402.009765625,23133.599609375,23398.5703125,23193.80078125,59500000,23193.80078125,24106.07716335046,23618.714453125,23131.351742899544,,23602.424088541666,,,23602.424088541666,23422.7646484375,23385.64453125,22858.762780295874,22936.734137330357,23602.424088541666,23586.915125151303,23294.47216679733,23584.731884765624,23563.70028561828,46.63402436044584,21.73087287764284,37.7589116121935,0.0,7.105427357601002e-15,,,,12.077196004584538,-65.73199991030786,-48.62240290168511,293.02979342733386,45.91373807796212,0.9657927602400029
2020-02-19,23468.560546875,23234.9609375,23329.330078125,23400.69921875,61600000,23400.69921875,23967.715183961354,23526.612109375,23085.509034788647,,23589.40958081317,,23195.237519741055,23608.952083333334,23422.7646484375,23385.64453125,22870.128843899165,22957.90683739625,23608.952083333334,23576.088006394028,23314.56561461995,23565.493440755206,23550.685777889787,50.216841194128705,24.96854832558245,28.073349559577608,31.629013230295808,10.54300441009861,,,,11.990084817960513,-48.765451872163084,-20.422171898657,291.72479144145285,49.390668660323584,1.3693523564404453
2020-02-20,23806.560546875,23426.419921875,23666.580078125,23479.150390625,63300000,23479.150390625,23779.998105173985,23456.89609375,23133.794082326018,,23582.296084671998,,23196.80267794981,23605.733072916668,23422.7646484375,23385.64453125,22881.381246866422,22978.656083460824,23605.733072916668,23559.62431094706,23393.203217988917,23546.625406901043,23542.311475134407,51.53862768356986,31.18885382228461,25.962758341836633,57.00435124724187,29.5444548258459,,,,11.392279287165854,-42.33212355731808,20.248766916493043,299.87740120456334,46.596755329841486,0.684360425357089
2020-02-21,23588.55078125,23378.330078125,23427.76953125,23386.740234375,62100000,23386.740234375,23623.166058919498,23396.726171875,23170.286284830505,,23569.679578201223,,23198.134994040207,23611.799088541666,23422.7646484375,23385.64453125,22892.521125804007,22998.990344604106,23611.799088541666,23539.355770242284,23372.08638291991,23530.27950032552,23528.182904905912,49.867610521695084,41.139039868314356,32.43214733872714,58.665765385758924,49.09970995443221,,,,10.69196579731788,-49.910147703721265,-14.561443559369806,293.4733513417374,40.595540478357876,-2.0392811159166913
2020-02-25,22950.23046875,22335.2109375,22949.369140625,22605.41015625,105800000,22605.41015625,23849.264925084997,23213.16015625,22577.055387415003,,23507.468647752758,,23179.04430495936,23573.9837890625,23239.5,23165.2900390625,23995.369140625,-23995.369140625,23573.9837890625,23488.624096533014,22818.67645822346,23512.380428059896,23463.254586693547,38.54605584768131,35.77593568140721,36.034609790668725,0.0,38.5567055443336,-172.96934216356385,-145.0869580539705,-27.882384109593346,12.095220895796587,-83.72448973589442,-212.06991511686476,347.62020459411326,36.962812322677756,-5.130818006601023
2020-02-26,22456.55078125,22127.419921875,22374.140625,22426.189453125,99300000,22426.189453125,23957.140767782348,23059.637890625,22162.13501346765,,23437.708699712257,,23146.72333812542,23526.504427083335,23149.8896484375,23061.39453125,23978.76755859375,-23962.1659765625,23526.504427083335,23402.66953425045,22464.267497675435,23494.43527018229,23389.20333921371,36.50899392199769,24.590995957612993,33.83532383577818,0.0,19.555255128586314,-230.84180672913863,-162.23792778900412,-68.6038789401345,13.712517742799951,-84.00547893641715,-225.47416430871357,356.9323495784623,39.448689373197894,-5.31872014876944
2020-02-27,22272.259765625,21844.2890625,22255.830078125,21948.23046875,106200000,21948.23046875,23936.657670154433,22769.144140625,21601.63061109557,,23341.613329972755,,23064.09485871189,23457.273111979168,22910.91015625,22919.8291015625,23941.740605859377,-23888.776134375003,23457.273111979168,23274.694963149035,22002.607430714383,23475.416243489584,23287.379212869622,31.719244477875534,13.818011909930133,24.728314516316775,0.0,7.105427357601002e-15,-311.6805876155122,-192.12645975430573,-119.55412786120647,15.60968448119734,-95.16794342958161,-196.42807106708995,373.00149536750075,35.135238273470016,-8.017113941789022
2020-02-28,21528.130859375,20916.400390625,21518.009765625,21142.9609375,148500000,21142.9609375,23785.86487609479,22301.90625,20817.94762390521,,23199.7647885229,,22888.037889866297,23364.819140625,22502.0859375,22429.9248046875,23878.817059558594,-23766.106910062503,23364.819140625,23088.49549951096,21272.600007242527,23451.247135416666,23138.06875,25.645709806694605,10.522860574734699,16.310622814092607,0.0,7.105427357601002e-15,-435.70192456220684,-240.84155271588594,-194.8603718463209,18.354218862358568,-92.51546440975864,-206.19013852371913,420.06067985017927,32.01930053863201,-11.267416067052915
